Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GDP	GDP	DFU	DFU	DRP	DRP	DG	DG	SSW	SSW	WGnD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																												
18	Hamburg IV	HH	142434	125726	1603	3707	124123	122019	53570	51668	43551	42086	0	0	20796	21728	1111	1192	3967	4136	1128	1209	0	0	0	0	0	0
19	Hamburg V	HH	203658	182319	2924	4631	179395	177688	82913	81800	57854	56685	0	0	29324	29565	1688	1850	6127	6285	1489	1503	0	0	0	0	0	0
20	Hamburg VI	HH	230300	205903	3097	5718	202806	200185	96902	95489	66657	64499	0	0	28771	29525	2199	2276	6493	6534	1784	1862	0	0	0	0	0	0
21	Hamburg VII	HH	169525	152037	2619	4699	149418	147338	79965	78786	42463	41379	0	0	18428	18454	1327	1415	6084	6160	1151	1144	0	0	0	0	0	0
22	Hamburg VIII	HH	192374	171299	2298	4117	169001	167182	79223	77616	54028	53169	0	0	27324	27733	1563	1677	5573	5682	1290	1305	0	0	0	0	0	0
902	Hamburg	HH	1386411	1227787	18143	34050	1209644	1193737	570382	560038	392417	380613	0	0	182919	187255	11081	11848	42670	43442	10175	10541	0	0	0	0	0	0
																												
23	Aurich – Emden	NI	129417	105457	2513	4762	102944	100695	49998	47874	38462	36272	0	0	8367	10164	2606	2683	2067	2161	1444	1503	0	38	0	0	0	0
24	Leer	NI	117736	95689	2217	4132	93472	91557	34031	33568	46454	41345	0	0	8909	11837	2026	2412	777	917	1275	1428	0	50	0	0	0	0
25	Wilhelmshaven – Friesland	NI	129178	111875	2331	4352	109544	107523	48496	47643	42523	36635	0	0	14431	18352	1190	1557	1413	1501	1491	1758	0	77	0	0	0	0
26	Emsland	NI	127853	115230	2202	4252	113028	110978	22278	21877	75720	74247	0	0	7033	7394	4967	4232	1622	1728	1408	1474	0	26	0	0	0	0
27	Bersenbrück – Lingen	NI	116688	106403	1695	3035	104708	103368	24713	24367	67428	66169	0	0	7526	7811	3563	3465	712	728	766	798	0	30	0	0	0	0
28	Osnabrück-Stadt und -Land	NI	180708	164207	2664	4986	161543	159221	56861	56202	76058	73791	0	0	19649	20234	5863	5846	1668	1678	1444	1431	0	39	0	0	0	0
29	Delmenhorst – Wesermarsch	NI	136982	119170	2690	4726	116480	114444	48497	47292	40854	39223	0	0	17650	18487	5778	5523	1227	1303	2474	2555	0	61	0	0	0	0
30	Oldenburg – Ammerland	NI	150196	127351	3229	5455	124122	121896	38312	37877	43282	42186	0	0	31238	30476	5600	5537	1608	1647	4082	4123	0	50	0	0	0	0
31	Vechta – Cloppenburg	NI	104117	97358	2090	2491	95268	94867	10942	10907	78004	77101	0	0	3309	3541	2489	2528	0	234	524	539	0	17	0	0	0	0
32	Cuxhaven – Hadeln – Wesermünde	NI	121415	104083	2415	4884	101668	99199	37725	36652	36486	35212	0	0	8010	10623	16763	13552	943	1041	1741	2016	0	103	0	0	0	0
33	Stade – Bremervörde	NI	135254	117018	2943	5191	114075	111827	37018	36232	39094	37060	0	0	14460	16932	20264	17970	928	1030	2311	2527	0	76	0	0	0	0
34	Verden – Rotenburg – Osterholz	NI	139012	120518	3264	5029	117254	115489	43289	42862	42683	41202	0	0	11034	12412	17400	15824	1358	1411	1490	1648	0	130	0	0	0	0
35	Lüneburg – Dannenberg	NI	118053	101655	2370	4067	99285	97588	30710	30747	35753	35219	0	0	14198	14939	15298	12998	1117	1158	2209	2444	0	83	0	0	0	0
36	Harburg – Soltau	NI	121201	106125	2244	4179	103881	101946	32086	31789	44623	41199	0	0	13408	14886	9908	9850	1127	1199	2729	2918	0	105	0	0	0	0
37	Fallingbostel – Hoya	NI	122886	108554	2193	3574	106361	104980	34585	34119	35007	35121	0	0	14678	15874	18261	15781	735	793	2723	2893	372	399	0	0	0	0
38	Celle	NI	130935	115015	2849	4480	112166	110535	39141	38586	47609	44237	0	0	13730	15392	7330	7655	1273	1346	2909	3141	174	178	0	0	0	0
39	Uelzen	NI	104995	93394	2063	3671	91331	89723	28202	27765	33437	32514	0	0	11464	12977	14922	13223	760	820	2231	2339	0	85	0	0	0	315
40	Stadt Hannover-Nord	NI	266912	234793	2501	4646	232292	230147	102417	100759	83792	80211	0	0	35372	37757	3873	4325	4107	4330	2503	2546	228	219	0	0	0	0
41	Stadt Hannover-Süd	NI	160551	142822	1812	3537	141010	139285	76038	74789	43015	41230	0	0	15222	16242	2043	2214	3267	3346	1248	1287	177	177	0	0	0	0
42	Hannover-Land	NI	153982	140507	2722	3938	137785	136569	67524	66830	47830	46174	0	0	14854	15615	4475	4609	1824	1874	1278	1354	0	113	0	0	0	0
43	Neustadt – Grafschaft Schaumburg	NI	132596	118840	2510	4406	116330	114434	50319	49202	41240	38207	0	0	12958	14740	7853	8218	1364	1432	2596	2571	0	64	0	0	0	0
44	Nienburg – Schaumburg-Lippe	NI	114046	101027	2182	3341	98845	97686	43822	43006	33751	29793	0	0	9670	12458	8498	8653	845	933	2259	2770	0	73	0	0	0	0
45	Diepholz – Melle – Wittlage	NI	108814	91784	2066	3131	89718	88653	24762	25181	31732	31232	0	0	23279	21587	7186	7539	566	637	2193	2436	0	41	0	0	0	0
46	Hameln – Springe	NI	136848	123546	2383	3921	121163	119625	54010	52900	39789	38037	0	0	16870	17771	7648	7846	1516	1576	1330	1422	0	73	0	0	0	0
47	Alfeld – Holzminden	NI	116537	107172	1973	3765	105199	103407	50328	49296	30095	29463	0	0	14916	14910	7531	7297	1299	1314	1030	1051	0	76	0	0	0	0
48	Hildesheim-Stadt und -Land	NI	143100	129971	2202	4027	127769	125944	52138	51056	52324	50316	0	0	13373	14139	6814	7142	1514	1595	1606	1619	0	77	0	0	0	0
49	Gandersheim — Salzgitter	NI	135876	122378	3455	4406	118923	117972	55711	54102	47309	45168	0	0	9255	10405	5105	5198	0	1508	1297	1385	246	206	0	0	0	0
50	Stadt Braunschweig	NI	180049	158807	2117	4786	156690	154021	70796	68375	59168	56515	0	0	18437	20704	3095	3161	3648	3755	1315	1295	231	216	0	0	0	0
51	Braunschweig-Land – Helmstedt	NI	131894	119230	2858	4604	116372	114626	46890	46075	51753	49465	0	0	9057	10352	5723	5656	1242	1256	1707	1717	0	105	0	0	0	0
52	Wolfenbüttel – Goslar-Land	NI	118710	107483	2424	3727	105059	103756	45412	44521	44628	42614	0	0	9763	10944	2836	3107	1394	1443	1026	1072	0	55	0	0	0	0
53	Harz	NI	124808	111950	2120	3765	109830	108185	48158	47180	43448	41345	0	0	12138	13373	3424	3612	1276	1341	1113	1060	273	274	0	0	0	0
54	Peine – Gifhorn	NI	154120	138681	2981	4546	135700	134135	58401	56406	50385	49666	0	0	11471	12773	12039	11655	1279	1409	1903	1996	222	230	0	0	0	0
55	Northeim – Einbeck – Duderstadt	NI	120000	110357	1929	3795	108428	106562	43752	42607	43609	41382	0	0	12916	14044	6217	6483	622	685	1038	1058	274	303	0	0	0	0
56	Göttingen – Münden	NI	127643	115040	1443	2928	113597	112112	48893	48180	39134	37405	0	0	18241	18994	4784	4868	1161	1251	1038	1077	346	337	0	0	0	0
903	Niedersachsen	NI	4613112	4083490	81650	140535	4001840	3942955	1556255	1526824	1606479	1536956	0	0	476886	519139	253372	242219	46259	50380	59731	63251	2543	4186	0	0	0	315
																												
57	Bremen-Ost	HB	171642	153571	2495	5960	151076	147611	66880	64874	45580	43204	0	0	28763	29229	4892	5098	3237	3430	1724	1776	0	0	0	0	0	0
58	Bremen-West	HB	168921	150216	2796	6790	147420	143426	81773	78945	34774	33329	0	0	19541	19730	4175	4223	5418	5418	1739	1781	0	0	0	0	0	0
59	Bremerhaven – Bremen-Nord	HB	167197	144149	3021	6945	141128	137204	71477	68915	40993	38960	0	0	15681	15996	7966	8177	3707	3791	1304	1365	0	0	0	0	0	0
904	Bremen	HB	507760	447936	8312	19695	439624	428241	220130	212734	121347	115493	0	0	63985	64955	17033	17498	12362	12639	4767	4922	0	0	0	0	0	0
																												
60	Aachen-Stadt	NW	117407	102487	2819	3766	99668	98721	30862	30374	54752	54003	0	0	10725	11203	646	601	2229	2069	454	448	0	23	0	0	0	0
61	Aachen-Land	NW	175945	159401	4435	5167	154966	154234	52183	51886	87128	86348	0	0	11366	11625	703	707	2784	2794	802	794	0	80	0	0	0	0
62	Geilenkirchen – Erkelenz – Jülich	NW	178500	164965	5673	4938	159292	160027	39877	40163	102653	102592	0	0	14789	14654	0	683	1380	1337	593	557	0	41	0	0	0	0
63	Düren – Monschau – Schleiden	NW	157505	142508	4889	4472	137619	138036	30584	30079	91683	92240	0	0	12980	13294	621	643	1292	1312	459	431	0	37	0	0	0	0
64	Bergheim – Euskirchen	NW	140512	126949	3540	3877	123409	123072	38929	38399	70368	70463	0	0	11804	11830	865	847	1090	1129	353	377	0	27	0	0	0	0
65	Köln-Land	NW	134732	120340	3547	2818	116793	117522	38775	38670	62655	62780	0	0	12474	12798	960	979	1929	1979	0	289	0	27	0	0	0	0
66	Köln I	NW	189671	154424	3382	4172	151042	150252	52296	51393	75555	75117	0	0	18712	19216	841	840	3105	3110	533	539	0	37	0	0	0	0
67	Köln II	NW	213176	172000	3442	3575	168558	168425	52640	51776	84822	84439	0	0	26135	27042	902	908	3361	3515	698	713	0	32	0	0	0	0
68	Köln III	NW	189700	156283	3554	4975	152729	151308	60436	58847	70989	69869	0	0	16416	17236	1006	988	3882	3921	0	413	0	34	0	0	0	0
69	Bonn-Stadt und -Land	NW	237510	205621	3336	5643	202285	199978	44969	44927	121941	116845	0	0	30438	32828	1964	2225	2054	2168	919	957	0	28	0	0	0	0
70	Siegkreis	NW	165206	147890	3674	3340	144216	144550	39942	38762	85231	85483	0	0	14772	15916	2157	2151	1314	1363	800	831	0	44	0	0	0	0
71	Oberbergischer Kreis	NW	93701	81947	1732	2548	80215	79399	28059	27659	36074	33614	0	0	12780	14672	1610	1640	828	924	864	859	0	31	0	0	0	0
72	Rheinisch-Bergischer Kreis	NW	141753	126015	2763	4037	123252	121978	33630	33528	70477	68903	0	0	15018	15311	1699	1720	1840	1897	588	574	0	45	0	0	0	0
73	Rhein-Wupper-Kreis – Leverkusen	NW	194886	171607	4114	5685	167493	165922	57731	56518	77791	78055	0	0	24258	23499	2662	2672	3968	4092	952	953	131	133	0	0	0	0
74	Remscheid – Solingen	NW	220460	191412	4975	6430	186437	184982	66400	65857	77321	72864	0	0	29104	32006	1081	1273	11325	11700	965	1046	241	236	0	0	0	0
75	Wuppertal I	NW	156964	133520	2847	3605	130673	129915	49420	48579	51955	50535	0	0	24079	25282	865	926	3679	3862	548	589	127	142	0	0	0	0
76	Wuppertal II	NW	155144	132603	2881	3577	129722	129026	49565	49019	51934	50259	0	0	22512	23764	815	894	4275	4441	437	457	184	192	0	0	0	0
77	Düsseldorf – Mettmann	NW	222577	195083	3623	5424	191460	189659	73223	72620	85879	82654	0	0	24607	26346	1991	2052	4736	4851	1024	1066	0	70	0	0	0	0
78	Düsseldorf I	NW	244474	211042	3318	4782	207724	206260	65845	64721	101581	98572	0	0	33329	35521	1538	1664	4450	4699	981	1024	0	59	0	0	0	0
79	Düsseldorf II	NW	255618	218583	3940	5712	214643	212871	83088	82019	94649	91869	0	0	27719	29489	1573	1680	6621	6715	993	1026	0	73	0	0	0	0
80	Neuß – Grevenbroich	NW	183563	163197	4291	5049	158906	158148	42923	42582	93989	93408	0	0	16428	16574	2966	2907	2151	2169	449	463	0	45	0	0	0	0
81	Krefeld	NW	154572	134900	2259	3324	132641	131576	48899	47607	63699	62171	0	0	17208	18722	756	827	1606	1703	473	504	0	42	0	0	0	0
82	Rheydt – Mönchengladbach – Viersen	NW	202064	174649	6206	8200	168443	166449	47020	45959	95577	94186	0	0	20416	20885	978	1010	3904	3799	548	568	0	42	0	0	0	0
83	Kempen – Krefeld	NW	137779	124269	2969	3573	121300	120696	33319	33172	73491	72450	0	0	11759	12075	1304	1284	1427	1413	0	270	0	32	0	0	0	0
84	Moers	NW	210166	187125	3863	4276	183262	182849	84846	84141	77903	77758	0	0	15411	15803	948	988	3135	3205	874	864	0	90	0	0	145	0
85	Geldern – Kleve	NW	113138	105322	2349	2324	102973	102998	20504	20541	72746	72354	0	0	8010	8380	857	879	534	543	322	287	0	14	0	0	0	0
86	Rees – Dinslaken	NW	140945	126320	2651	2533	123669	123787	53851	53193	54841	54657	0	0	12826	13558	477	541	1414	1540	260	283	0	15	0	0	0	0
87	Oberhausen	NW	175426	153515	3825	6256	149690	147259	66415	63268	67995	67568	0	0	11198	12203	524	560	2355	2421	1203	1171	0	68	0	0	0	0
88	Mülheim	NW	134789	118136	2237	3702	115899	114434	55691	53803	44577	41648	0	0	12762	15688	351	437	2111	2371	407	458	0	29	0	0	0	0
89	Essen I	NW	205864	177481	3603	5646	173878	171835	81467	80045	73394	72123	0	0	13294	13750	728	811	4376	4452	619	623	0	31	0	0	0	0
90	Essen II	NW	156927	134913	3093	4991	131820	129922	69881	68424	50608	49697	0	0	6789	7107	355	394	3785	3851	402	417	0	32	0	0	0	0
91	Essen III	NW	163013	143301	2317	3809	140984	139492	50290	50115	68703	65866	0	0	18221	19518	495	549	2791	2906	484	511	0	27	0	0	0	0
92	Duisburg I	NW	168771	145772	3518	4618	142254	141154	70890	70385	55970	53953	0	0	10782	11961	594	637	3532	3690	486	500	0	28	0	0	0	0
93	Duisburg II	NW	187392	159038	3503	4556	155535	154482	70157	68919	66057	64111	0	0	13846	15756	860	903	3890	4011	725	757	0	25	0	0	0	0
94	Borken – Bocholt – Ahaus	NW	147785	137527	3085	3348	134442	134179	25583	25370	96630	96502	0	0	10168	10034	1165	1096	896	840	0	320	0	17	0	0	0	0
95	Steinfurt – Tecklenburg	NW	188305	172622	3984	4217	168638	168405	47083	46904	99514	99081	0	0	17443	17784	2929	2905	1105	1137	453	482	111	112	0	0	0	0
96	Beckum – Warendorf	NW	140994	130511	2744	2900	127767	127611	34803	34828	80456	79754	0	0	8571	9034	1997	2079	1414	1396	410	413	116	107	0	0	0	0
97	Münster-Stadt und -Land	NW	182706	165095	3108	4196	161987	160899	39109	38640	95010	93573	0	0	23257	24009	1712	1760	1937	1955	670	682	292	280	0	0	0	0
98	Lüdinghausen – Coesfeld	NW	137164	127439	3179	2823	124260	124616	28926	29405	83977	83578	0	0	8224	8537	1338	1304	1412	1398	383	374	0	20	0	0	0	0
99	Gelsenkirchen	NW	272084	235397	5554	8341	229843	227056	111810	109899	91383	90114	0	0	17178	17445	969	1045	7406	7473	904	892	193	188	0	0	0	0
100	Recklinghausen-Land	NW	211091	192505	3487	3968	189018	188537	78741	78058	92152	91348	0	0	11631	12634	1438	1428	3931	3929	1125	1102	0	38	0	0	0	0
101	Recklinghausen-Stadt	NW	91150	80996	1596	2580	79400	78416	35148	33225	33734	33923	0	0	7503	8093	429	457	2208	2307	378	386	0	25	0	0	0	0
102	Gladbeck – Bottrop	NW	134010	121161	2953	3456	118208	117705	52272	52114	55144	54285	0	0	5191	5806	373	400	4945	4770	283	304	0	26	0	0	0	0
103	Warburg – Höxter – Büren	NW	127161	116580	2908	2947	113672	113633	19153	19247	81591	81468	0	0	9448	9498	2606	2364	691	686	0	198	183	172	0	0	0	0
104	Paderborn – Wiedenbrück	NW	186737	170811	3859	3552	166952	167259	37565	38012	108431	107490	0	0	16960	17684	1878	1888	1488	1520	630	629	0	36	0	0	0	0
105	Bielefeld – Halle	NW	133678	122032	3106	3420	118926	118612	55969	56066	42169	41247	0	0	17049	17600	1551	1514	1196	1248	787	771	205	166	0	0	0	0
106	Bielefeld-Stadt	NW	129888	117872	3025	3312	114847	114560	52516	52100	41583	39940	0	0	17179	18722	788	847	1959	2101	786	810	36	40	0	0	0	0
107	Herford-Stadt und -Land	NW	159828	144742	3867	4190	140875	140552	69031	69074	50056	48425	0	0	17809	18928	1209	1330	1960	1935	810	829	0	31	0	0	0	0
108	Detmold	NW	101548	91080	1858	2364	89222	88716	39320	39338	25481	25335	0	0	19683	19328	2290	2174	1599	1634	849	884	0	23	0	0	0	0
109	Lemgo	NW	96354	87201	2331	2285	84870	84916	40974	40963	23843	23689	0	0	16883	17105	1199	1196	1351	1371	569	562	0	30	0	0	0	51
110	Minden – Lübbecke	NW	195462	171295	4444	4662	166851	166633	73412	72808	61151	60362	0	0	26691	27833	2312	2245	2007	2090	1192	1211	86	84	0	0	0	0
111	Wattenscheid – Wanne-Eickel	NW	132662	116676	3251	4273	113425	112403	57506	56372	44456	44035	0	0	6974	7334	691	693	3112	3227	686	688	0	54	0	0	0	0
112	Herne – Castrop-Rauxel	NW	142170	128139	3919	4672	124220	123467	60106	59384	51440	50596	0	0	7757	8516	729	691	3701	3754	487	485	0	41	0	0	0	0
113	Ennepe-Ruhr – Witten	NW	253590	227988	5782	5843	222206	222145	109778	109261	75254	74997	0	0	28140	28687	1787	1762	5557	5672	1690	1675	0	91	0	0	0	0
114	Hagen	NW	141049	122993	3036	4142	119957	118851	55185	53926	47144	45944	0	0	13044	14157	642	789	3258	3283	684	728	0	24	0	0	0	0
115	Dortmund I	NW	182933	161406	4618	5287	156788	156119	74468	73599	58602	56773	0	0	19313	20616	0	564	3580	3690	825	805	0	72	0	0	0	0
116	Dortmund II	NW	164980	142260	4667	5333	137593	136927	71515	70658	50220	49718	0	0	11329	11545	0	526	3826	3794	703	650	0	36	0	0	0	0
117	Dortmund III – Lünen	NW	169600	148364	4932	5233	143432	143131	75802	74954	51508	51151	0	0	11561	11757	0	731	3787	3787	774	703	0	48	0	0	0	0
118	Bochum	NW	259127	230788	5798	6843	224990	223945	113794	111772	87597	86448	0	0	17163	18912	1064	1168	4398	4591	974	990	0	64	0	0	0	0
119	Iserlohn-Stadt und -Land	NW	170390	151195	2757	3579	148438	147616	59111	58625	65391	64151	0	0	20208	20803	939	1015	2246	2411	543	581	0	30	0	0	0	0
120	Unna – Hamm	NW	202759	184382	4913	5013	179469	179369	83649	82352	72258	70599	0	0	17608	20060	1060	1182	3396	3564	1498	1561	0	51	0	0	0	0
121	Meschede – Olpe	NW	111462	103345	2467	2338	100878	101007	20601	20625	71467	71218	0	0	7047	7411	744	716	807	815	212	201	0	21	0	0	0	0
122	Arnsberg – Soest	NW	156478	141991	2936	3461	139055	138530	39289	39591	79307	78078	0	0	16740	17219	2081	2044	917	959	721	616	0	23	0	0	0	0
