Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GB/BHE	GB/BHE	DP	DP	KPD	KPD	BP	BP	GVP	GVP	DRP	DRP	Zentrum	Zentrum	DNS	DNS	SSW	SSW	SHLP	VU	PdgD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																						
22	Hamburg VIII	HH	162133	143127	4920	2617	138207	140510	0	52895	52690	50780	72068	18041	0	0	4092	3559	0	6697	4621	4595	0	0	1670	1809	3066	2134	0	0	0	0	0	0	0	0	0	0
902	Hamburg	HH	1241880	1085279	37601	25296	1047678	1059983	215376	389335	416865	403410	186694	108722	0	0	31348	26133	120958	62123	41108	40278	0	0	13160	12881	22169	17101	0	0	0	0	0	0	0	0	0	0
																																						
23	Aurich – Emden	NI	124610	102742	6850	4052	95892	98690	0	27709	41239	39766	34606	11544	0	0	6292	5258	0	2900	2807	2771	0	0	895	976	10053	7766	0	0	0	0	0	0	0	0	0	0
24	Leer	NI	115722	93420	2947	3034	90473	90386	50974	39115	26422	26189	0	8686	0	0	5482	5791	0	2568	825	817	0	0	374	520	6396	6700	0	0	0	0	0	0	0	0	0	0
25	Wilhelmshaven – Friesland	NI	123514	106403	2732	3132	103671	103271	39218	34446	35602	35176	13436	15657	0	0	4951	5309	4310	5103	1438	1481	0	0	458	527	4258	5572	0	0	0	0	0	0	0	0	0	0
26	Emsland	NI	118449	104487	2659	2808	101828	101679	68337	69314	14244	14292	4503	3974	0	0	6047	5995	2696	2473	707	670	0	0	2344	2155	2950	2806	0	0	0	0	0	0	0	0	0	0
27	Bersenbrück – Lingen	NI	108470	99843	1912	1978	97931	97865	63748	63603	19451	19153	2548	2818	0	0	7782	7661	2158	2415	397	399	0	0	283	324	1564	1492	0	0	0	0	0	0	0	0	0	0
28	Osnabrück-Stadt und -Land	NI	159580	142880	3987	3792	138893	139088	72344	71822	37231	36780	7335	7295	0	0	9699	9825	10089	9402	1304	1285	0	0	891	992	0	1687	0	0	0	0	0	0	0	0	0	0
29	Delmenhorst – Wesermarsch	NI	132783	114653	6658	4855	107995	109798	58127	34814	34790	33350	0	18090	0	0	12648	12728	0	5838	1362	1320	0	0	1068	657	0	3001	0	0	0	0	0	0	0	0	0	0
30	Oldenburg – Ammerland	NI	141020	120398	7975	4138	112423	116260	0	36426	21997	21185	63551	31076	0	0	17008	14108	0	5166	1426	1369	0	0	842	735	7599	6195	0	0	0	0	0	0	0	0	0	0
31	Vechta – Cloppenburg	NI	100684	93776	3974	3044	89802	90732	69734	70639	8154	8087	1373	1296	0	0	8665	8280	1545	1268	331	303	0	0	0	240	0	619	0	0	0	0	0	0	0	0	0	0
32	Cuxhaven – Hadeln – Wesermünde	NI	126466	108636	7853	4100	100783	104536	0	25313	31629	29651	0	6046	0	0	14210	11872	52747	27009	1141	1030	0	0	1056	769	0	2846	0	0	0	0	0	0	0	0	0	0
33	Stade – Bremervörde	NI	135581	119182	7788	4206	111394	114976	0	21875	31464	30271	0	3543	0	0	16913	14421	61213	40516	781	707	0	0	1023	695	0	2948	0	0	0	0	0	0	0	0	0	0
34	Verden – Rotenburg – Osterholz	NI	133914	118090	7665	4101	110425	113989	0	33089	33972	32017	0	2214	0	0	15739	14100	52286	25091	1028	999	0	0	858	834	6542	5645	0	0	0	0	0	0	0	0	0	0
35	Lüneburg – Dannenberg	NI	120195	106129	2457	2594	103672	103535	26483	31944	23331	22996	4636	4889	0	0	16579	15891	23745	19632	925	955	0	0	332	409	7641	6819	0	0	0	0	0	0	0	0	0	0
36	Harburg – Soltau	NI	114858	101804	9176	3289	92628	98515	0	26284	23517	21844	0	3229	0	0	15119	13027	47582	28417	822	784	0	0	523	483	5065	4447	0	0	0	0	0	0	0	0	0	0
37	Fallingbostel – Hoya	NI	128603	114028	6342	3876	107686	110152	0	30909	27603	26009	0	2462	0	0	19404	16410	52273	27293	649	618	0	0	512	449	7245	6002	0	0	0	0	0	0	0	0	0	0
38	Celle	NI	123576	109895	3260	3603	106635	106292	26201	32769	27220	26555	4882	5499	0	0	16812	16436	22124	14855	1205	1228	0	0	692	796	7499	8154	0	0	0	0	0	0	0	0	0	0
39	Uelzen	NI	108852	98949	2378	2585	96571	96364	22772	27936	20802	20223	5210	5345	0	0	17817	17376	26547	21844	489	499	0	0	240	277	2694	2864	0	0	0	0	0	0	0	0	0	0
40	Stadt Hannover-Nord	NI	210853	182511	2805	3268	179706	179243	50011	59026	69661	69148	10836	12927	0	0	7076	7198	33433	21477	2431	2482	0	0	1366	1706	4808	5279	0	0	84	0	0	0	0	0	0	0
41	Stadt Hannover-Süd	NI	148550	131299	2021	2604	129278	128695	32883	34446	67088	66269	6147	6002	0	0	4553	4607	11901	10437	2717	2756	0	0	901	977	3088	3201	0	0	0	0	0	0	0	0	0	0
42	Hannover-Land	NI	130586	119421	2946	3073	116475	116348	30521	32205	50750	50403	6863	6504	0	0	10376	10234	12617	11607	1501	1511	0	0	546	581	3301	3303	0	0	0	0	0	0	0	0	0	0
43	Neustadt – Grafschaft Schaumburg	NI	127556	115220	4407	4279	110813	110941	26882	29004	38840	38626	4690	4466	0	0	17781	17253	16862	15730	1047	1088	0	0	802	896	3909	3878	0	0	0	0	0	0	0	0	0	0
44	Nienburg – Schaumburg-Lippe	NI	114621	102641	2877	3314	99764	99327	22565	24961	35534	35001	6584	5974	0	0	12364	12017	15107	13610	850	865	0	0	883	893	5877	6006	0	0	0	0	0	0	0	0	0	0
45	Diepholz – Melle – Wittlage	NI	110187	95758	4535	2871	91223	92887	23797	29220	19555	19151	9534	6641	0	0	13171	12273	24374	19409	329	317	0	0	463	436	0	5440	0	0	0	0	0	0	0	0	0	0
46	Hameln – Springe	NI	138676	126626	5947	3439	120679	123187	0	32766	44915	43700	0	4131	0	0	18748	18174	51030	18684	1148	1093	0	0	484	535	4354	4104	0	0	0	0	0	0	0	0	0	0
47	Alfeld – Holzminden	NI	121193	111535	3309	3325	108226	108210	22044	26136	42599	42322	8918	7630	0	0	19118	16555	10033	9578	1091	1122	0	0	334	379	4089	4488	0	0	0	0	0	0	0	0	0	0
48	Hildesheim-Stadt und -Land	NI	130108	119429	3325	2788	116104	116641	53017	47172	37418	36620	7012	6826	0	0	16044	15722	0	5346	1079	1092	0	0	1534	1405	0	2458	0	0	0	0	0	0	0	0	0	0
49	Gandersheim — Salzgitter	NI	127635	114965	3403	3839	111562	111126	44445	46081	36252	35542	4265	4332	0	0	14084	13441	8177	7163	1511	1514	0	0	362	405	2466	2648	0	0	0	0	0	0	0	0	0	0
50	Stadt Braunschweig	NI	168116	145531	2808	3351	142723	142180	52609	54812	52915	52125	5183	5756	0	0	8043	7424	18476	16257	2630	2659	0	0	1038	1098	1829	2049	0	0	0	0	0	0	0	0	0	0
51	Braunschweig-Land – Helmstedt	NI	123452	113009	3487	3442	109522	109567	40417	42156	34700	33985	2935	3007	0	0	16404	15787	13746	11918	971	997	0	0	349	355	0	1362	0	0	0	0	0	0	0	0	0	0
52	Wolfenbüttel – Goslar-Land	NI	119222	107713	2878	3240	104835	104473	45772	46704	35043	34303	3434	3324	0	0	11729	11164	5063	5069	1277	1297	0	0	384	460	2133	2152	0	0	0	0	0	0	0	0	0	0
53	Harz	NI	131051	118342	3025	3031	115317	115311	42680	44939	38944	38192	14554	12523	0	0	10568	10124	6829	6467	1279	1253	0	0	463	506	0	1307	0	0	0	0	0	0	0	0	0	0
54	Peine – Gifhorn	NI	124976	112522	3840	3546	108682	108976	31318	33655	32584	31701	3155	3243	0	0	17725	16770	22280	19566	1180	1193	0	0	440	411	0	2437	0	0	0	0	0	0	0	0	0	0
55	Northeim – Einbeck – Duderstadt	NI	121809	111751	2268	2533	109483	109218	32984	35251	33569	32991	14961	13253	0	0	14401	14222	10032	9772	615	639	0	0	294	303	2627	2787	0	0	0	0	0	0	0	0	0	0
56	Göttingen – Münden	NI	123350	111154	5213	3016	105941	108138	0	34441	33276	32899	57512	20692	0	0	9294	9518	0	5323	1022	978	0	0	510	692	4050	3595	0	0	277	0	0	0	0	0	0	0
903	Niedersachsen	NI	4388818	3894742	145707	114146	3749035	3780596	1049883	1330982	1162311	1136522	308663	260894	0	0	432646	406971	619275	449203	40315	40091	0	0	23544	23876	112037	132057	0	0	361	0	0	0	0	0	0	0
																																						
57	Bremen-Ost	HB	140430	123889	2222	3099	121667	120790	34331	35278	41052	40388	14017	12574	0	0	3068	3361	20237	19704	3192	3174	0	0	2029	2374	3741	3937	0	0	0	0	0	0	0	0	0	0
58	Bremen-West	HB	138463	122185	2567	3808	119618	118377	24810	24617	54103	53071	8781	8635	0	0	3445	3486	16508	16461	6610	6542	0	0	1672	1836	3689	3729	0	0	0	0	0	0	0	0	0	0
59	Bremerhaven – Bremen-Nord	HB	142065	121846	3299	4813	118547	117033	26528	28561	46441	45387	5371	5568	0	0	4804	4757	27248	24299	4190	4169	0	0	1216	1406	2749	2886	0	0	0	0	0	0	0	0	0	0
904	Bremen	HB	420958	367920	8088	11720	359832	356200	85669	88456	141596	138846	28169	26777	0	0	11317	11604	63993	60464	13992	13885	0	0	4917	5616	10179	10552	0	0	0	0	0	0	0	0	0	0
																																						
60	Aachen-Stadt	NW	102136	84503	2624	2438	81879	82065	47272	46558	22762	22280	7753	7822	0	0	832	915	401	513	1535	1567	0	0	1324	1452	0	0	0	958	0	0	0	0	0	0	0	0
61	Aachen-Land	NW	153826	134669	6441	6130	128228	128539	71967	71667	40817	40488	7157	7005	0	0	1701	1761	1263	1374	4331	4240	0	0	992	1112	0	0	0	892	0	0	0	0	0	0	0	0
62	Geilenkirchen – Erkelenz – Jülich	NW	154231	137012	7218	6450	129794	130562	92138	91405	25674	25307	7681	7422	0	0	2127	2030	0	747	1519	1513	0	0	655	662	0	0	0	1476	0	0	0	0	0	0	0	0
63	Düren – Monschau – Schleiden	NW	141915	125320	4949	4643	120371	120677	83424	82762	23620	23278	9391	8466	0	0	1291	1407	597	712	1248	1218	0	0	800	856	0	0	0	1978	0	0	0	0	0	0	0	0
64	Bergheim – Euskirchen	NW	126698	111931	4459	4266	107472	107665	60535	60350	31876	31246	10710	10559	0	0	1886	2033	801	914	1316	1356	0	0	348	370	0	0	0	837	0	0	0	0	0	0	0	0
65	Köln-Land	NW	107942	93936	3270	3282	90666	90654	48609	48251	30373	29800	5245	5483	0	0	2705	2747	612	751	2731	2788	0	0	391	471	0	0	0	363	0	0	0	0	0	0	0	0
66	Köln I	NW	158873	125973	2577	3133	123396	122840	66054	65407	41117	40126	9375	9509	0	0	1437	1480	1159	1266	3617	3686	0	0	637	787	0	0	0	579	0	0	0	0	0	0	0	0
67	Köln II	NW	179500	141753	2401	2979	139352	138774	75937	74280	42457	41118	13536	14366	0	0	1738	1958	1634	1921	3236	3301	0	0	814	1121	0	0	0	709	0	0	0	0	0	0	0	0
68	Köln III	NW	138787	113169	2121	2802	111048	110367	55540	54551	40557	39579	7401	7759	0	0	1688	1736	901	1041	4153	4240	0	0	808	925	0	0	0	536	0	0	0	0	0	0	0	0
69	Bonn-Stadt und -Land	NW	198550	166463	3570	4689	162893	161774	112005	103608	28595	28762	12480	15551	0	0	4254	5289	1921	2702	1684	1696	0	0	1786	2077	0	0	0	2089	168	0	0	0	0	0	0	0
70	Siegkreis	NW	145235	127631	5301	4329	122330	123302	79233	72269	27094	26057	8271	8470	0	0	5262	5318	0	761	1123	1131	0	0	1347	1469	0	0	0	7827	0	0	0	0	0	0	0	0
71	Oberbergischer Kreis	NW	84466	71829	1659	2110	70170	69719	30502	28001	20790	19886	11910	13049	0	0	2252	2647	803	1292	581	641	0	0	2400	3254	932	0	0	949	0	0	0	0	0	0	0	0
72	Rheinisch-Bergischer Kreis	NW	114394	99541	2969	2702	96572	96839	58060	57295	22976	22607	9635	9497	0	0	3705	3778	0	410	1467	1493	0	0	729	787	0	0	0	972	0	0	0	0	0	0	0	0
73	Rhein-Wupper-Kreis	NW	157244	134157	4369	3902	129788	130255	67342	66623	34903	34561	13302	13423	0	0	6227	6310	1008	1219	5322	5316	0	0	1684	1931	0	0	0	872	0	0	0	0	0	0	0	0
74	Remscheid – Solingen	NW	196778	169912	4153	4617	165759	165295	64001	60096	48629	48081	26129	28009	0	0	3264	3543	1352	1739	20120	19864	0	0	2264	2849	0	0	0	1114	0	0	0	0	0	0	0	0
75	Wuppertal I	NW	142322	115630	9745	3460	105885	112170	0	43910	40437	37472	53447	15078	0	0	1983	1935	1641	1813	4733	4818	0	0	3262	3334	0	0	0	3810	382	0	0	0	0	0	0	0
76	Wuppertal II	NW	141785	116218	4464	2803	111754	113415	60804	45756	38097	37352	0	11490	0	0	1477	1640	1589	1931	5531	5663	0	0	4079	4910	0	0	0	4673	177	0	0	0	0	0	0	0
77	Düsseldorf – Mettmann	NW	179646	151589	4248	4158	147341	147431	76680	70880	44950	43962	11856	13680	0	0	5010	5418	0	821	5913	6024	0	0	2606	3084	0	0	0	3562	326	0	0	0	0	0	0	0
78	Düsseldorf I	NW	206118	170749	3590	3462	167159	167287	96948	92693	43407	42871	15532	16885	0	0	3209	3325	1952	2249	4215	4272	0	0	1896	2363	0	0	0	2629	0	0	0	0	0	0	0	0
79	Düsseldorf II	NW	208564	171427	4425	4092	167002	167335	83300	80204	57861	56783	12383	12371	0	0	3324	3432	0	1435	8453	8528	0	0	1681	1754	0	0	0	2828	0	0	0	0	0	0	0	0
80	Neuß – Grevenbroich	NW	147274	125918	4452	4238	121466	121680	76786	75310	28024	27486	7706	7787	0	0	4916	4939	915	1023	2392	2336	0	0	727	792	0	0	0	2007	0	0	0	0	0	0	0	0
81	Krefeld	NW	130976	108494	2200	2446	106294	106048	58552	55447	31673	30957	10152	11152	0	0	2026	2242	1002	1330	1820	1884	0	0	1069	1330	0	0	0	1706	0	0	0	0	0	0	0	0
82	Rheydt – Mönchengladbach – Viersen	NW	175658	145842	6075	4385	139767	141457	92819	86255	29023	28572	10059	10480	0	0	2507	2499	1271	1386	2715	2730	0	0	1373	1612	0	0	0	7923	0	0	0	0	0	0	0	0
83	Kempen – Krefeld	NW	123146	108167	4426	3858	103741	104309	65026	59861	26064	25401	6586	6478	0	0	3599	3578	555	672	1319	1330	0	0	592	654	0	0	0	6335	0	0	0	0	0	0	0	0
84	Moers	NW	167728	143846	4057	4079	139789	139767	66283	62751	55191	54266	10074	11096	0	0	2452	2514	957	1159	3299	3386	0	0	1533	1902	0	0	0	2693	0	0	0	0	0	0	0	0
85	Geldern – Kleve	NW	102053	92703	3151	3199	89552	89504	65477	63845	16498	16059	5496	5264	0	0	958	1006	0	307	563	547	0	0	560	556	0	0	0	1920	0	0	0	0	0	0	0	0
86	Rees – Dinslaken	NW	110829	94855	3345	3028	91510	91827	46940	40658	32303	31698	7837	8809	0	0	1218	1337	0	532	2519	2552	0	0	693	882	0	0	0	5359	0	0	0	0	0	0	0	0
87	Oberhausen	NW	148192	126216	8026	5141	118190	121075	0	49367	45619	42512	8414	6616	0	0	1289	1320	776	790	3500	3545	0	0	2469	2518	0	0	55835	14407	288	0	0	0	0	0	0	0
88	Mülheim	NW	111604	95735	2121	2481	93614	93254	39908	37734	38273	37104	8685	10307	0	0	860	1047	1093	1368	3393	3488	0	0	1402	1760	0	0	0	446	0	0	0	0	0	0	0	0
89	Essen I	NW	161591	132200	3283	3168	128917	129032	58003	53872	53024	52182	5268	5603	0	0	1676	1883	933	1037	5499	5527	0	0	4514	4700	0	0	0	4228	0	0	0	0	0	0	0	0
90	Essen II	NW	151343	123892	3139	3068	120753	120824	47705	43899	57533	56712	3831	3944	0	0	1163	1367	670	749	6179	6301	0	0	3672	3622	0	0	0	4230	0	0	0	0	0	0	0	0
91	Essen III	NW	153717	127871	2819	2552	125052	125319	66887	62107	37577	37034	10039	11075	0	0	1715	1918	1305	1521	2640	2681	0	0	4889	5227	0	0	0	3756	0	0	0	0	0	0	0	0
92	Duisburg I	NW	148815	123664	3228	3697	120436	119967	53021	50076	52086	50968	5701	6588	0	0	1495	1715	1155	1338	5428	5465	0	0	1404	1653	0	0	0	2164	146	0	0	0	0	0	0	0
93	Duisburg II	NW	165726	134280	3671	3599	130609	130681	65455	60877	48262	47343	6745	8598	0	0	1820	2320	1142	1421	4969	5056	0	0	2090	2358	0	0	0	2708	126	0	0	0	0	0	0	0
94	Borken – Bocholt – Ahaus	NW	128973	117823	3781	3233	114042	114590	85555	78236	17792	17371	4946	4818	0	0	4405	4479	0	503	859	829	0	0	485	476	0	0	0	7878	0	0	0	0	0	0	0	0
95	Steinfurt – Tecklenburg	NW	169499	152099	6171	4966	145928	147133	90307	77138	35690	34911	9202	9034	0	0	6642	6519	2719	2744	869	876	0	0	499	708	0	0	0	15203	0	0	0	0	0	0	0	0
96	Beckum – Warendorf	NW	125766	114573	2911	2615	111662	111958	75324	70349	25599	24972	3974	3818	0	0	5095	5073	0	710	1357	1366	0	0	313	329	0	0	0	5341	0	0	0	0	0	0	0	0
97	Münster-Stadt und -Land	NW	147757	128506	3965	2744	124541	125762	84385	75346	23763	23214	9043	9382	0	0	4466	4580	1350	1585	684	680	0	0	850	918	0	0	0	10057	0	0	0	0	0	0	0	0
98	Lüdinghausen – Coesfeld	NW	122780	112022	3800	2703	108222	109319	75274	69252	23434	22929	2920	2781	0	0	4294	4322	488	587	1345	1365	0	0	467	434	0	0	0	7649	0	0	0	0	0	0	0	0
99	Gelsenkirchen	NW	245241	204313	5504	6291	198809	198022	85492	77508	86468	84014	8620	9173	0	0	3419	3458	1314	1540	11147	11169	0	0	2349	2758	0	0	0	8402	0	0	0	0	0	0	0	0
100	Recklinghausen-Land	NW	172839	152517	4410	4111	148107	148406	80430	72523	56127	54255	5318	6193	0	0	0	3583	0	418	5287	5393	0	0	945	1023	0	0	0	5018	0	0	0	0	0	0	0	0
101	Recklinghausen-Stadt	NW	78416	67528	1585	2147	65943	65381	32550	30994	25587	24141	3714	4572	0	0	1416	1660	0	172	2365	2448	0	0	311	455	0	0	0	939	0	0	0	0	0	0	0	0
102	Gladbeck – Bottrop	NW	117832	104132	2749	3249	101383	100883	47314	44926	40913	40283	3536	3852	0	0	750	821	453	527	7399	7092	0	0	1018	1170	0	0	0	2212	0	0	0	0	0	0	0	0
103	Warburg – Höxter – Büren	NW	127118	115704	3716	2806	111988	112898	80260	70659	18726	18100	5802	5471	0	0	5762	5601	628	870	405	400	0	0	405	467	0	0	0	11330	0	0	0	0	0	0	0	0
104	Paderborn – Wiedenbrück	NW	158756	142247	4181	3656	138066	138591	95673	89409	25376	24669	9149	8928	0	0	4233	4433	2420	2548	434	427	0	0	781	832	0	0	0	7345	0	0	0	0	0	0	0	0
105	Bielefeld – Halle	NW	110875	99750	3038	3031	96712	96719	34691	35167	40751	40506	12515	11531	0	0	5636	5576	1072	1358	1090	1122	0	0	957	1046	0	0	0	413	0	0	0	0	0	0	0	0
106	Bielefeld-Stadt	NW	118083	106352	2359	2786	103993	103566	33823	34056	43490	42787	16517	15866	0	0	5307	5021	2076	2073	1634	1663	0	0	1146	1358	0	0	0	742	0	0	0	0	0	0	0	0
107	Herford-Stadt und -Land	NW	147947	130593	4085	4569	126508	126024	42946	42929	59860	59089	14581	14587	0	0	4052	4161	1259	1630	1739	1732	0	0	1336	1577	735	0	0	319	0	0	0	0	0	0	0	0
108	Detmold	NW	92902	81370	2144	3073	79226	78297	24911	23446	30906	30305	13208	13281	0	0	5315	5620	0	1844	1189	1239	0	0	1994	2370	1703	0	0	192	0	0	0	0	0	0	0	0
109	Lemgo	NW	92610	82232	6528	3405	75704	78827	0	21531	36875	34760	18383	13463	0	0	5018	4280	11463	1839	1106	1101	0	0	1229	1445	1630	0	0	408	0	0	0	0	0	0	0	0
110	Minden – Lübbecke	NW	178171	153617	4589	5381	149028	148236	55528	53715	60274	59281	21169	22193	0	0	6522	6677	1983	2381	1868	1835	0	0	1684	1978	0	0	0	176	0	0	0	0	0	0	0	0
111	Wattenscheid – Wanne-Eickel	NW	115599	100368	2591	3218	97777	97150	42019	41132	42360	41504	5059	5373	0	0	1765	1747	0	325	5579	5553	0	0	995	1120	0	0	0	396	0	0	0	0	0	0	0	0
112	Herne – Castrop-Rauxel	NW	130819	115570	3300	3897	112270	111673	49499	48601	47967	47298	6181	6480	0	0	2141	2213	605	671	4815	4805	0	0	1062	1164	0	0	0	441	0	0	0	0	0	0	0	0
113	Ennepe-Ruhr – Witten	NW	221012	194231	5551	5500	188680	188731	67992	66481	81401	80761	24302	24753	0	0	3765	3796	1514	1789	7720	7819	0	0	1986	2429	0	0	0	903	0	0	0	0	0	0	0	0
114	Hagen	NW	116363	100970	2236	2777	98734	98193	47559	43319	34671	34049	7292	10457	0	0	1337	1569	698	1053	5381	5363	0	0	1796	2077	0	0	0	306	0	0	0	0	0	0	0	0
115	Dortmund I	NW	155121	132752	3361	4257	129391	128495	49915	48843	57229	56415	12412	12613	0	0	1999	2062	1526	1695	4703	4659	0	0	1607	1765	0	0	0	443	0	0	0	0	0	0	0	0
116	Dortmund II	NW	148949	123746	3406	4486	120340	119260	48598	47838	55063	53947	7149	7226	0	0	1781	1842	1100	1165	5555	5546	0	0	1094	1211	0	0	0	485	0	0	0	0	0	0	0	0
117	Dortmund III – Lünen	NW	146060	124691	3337	4368	121354	120323	46487	45736	57395	56549	7427	7539	0	0	2518	2620	1183	1208	5360	5290	0	0	984	1064	0	0	0	317	0	0	0	0	0	0	0	0
118	Bochum	NW	226320	196021	4489	5132	191532	190889	86242	83344	80350	79360	12834	13462	0	0	2751	2833	0	968	6916	6958	0	0	2439	2661	0	0	0	1303	0	0	0	0	0	0	0	0
